id,external_id,name,her_nr,status,source_url
515,5813,SD,5813,completed,https://www.irishautoparts.ie
32,104,SEAT,104,completed,https://www.irishautoparts.ie
516,4763,SEAZ,4763,completed,https://www.irishautoparts.ie
517,5590,SERES,5590,completed,https://www.irishautoparts.ie
518,6178,SEVIC,6178,completed,https://www.irishautoparts.ie
519,4497,SFM,4497,completed,https://www.irishautoparts.ie
520,1547,SHELBY,1547,completed,https://www.irishautoparts.ie
521,5133,SHERCO,5133,completed,https://www.irishautoparts.ie
522,4661,SHINERAY,4661,completed,https://www.irishautoparts.ie
523,3156,SHUANGHUAN,3156,completed,https://www.irishautoparts.ie
524,4065,SIMSON,4065,completed,https://www.irishautoparts.ie
525,5125,SINOGOLD,5125,completed,https://www.irishautoparts.ie
526,3855,SINOTRUK (CNHTC),3855,completed,https://www.irishautoparts.ie
527,1548,SIPANI,1548,completed,https://www.irishautoparts.ie
528,5139,SITECH,5139,completed,https://www.irishautoparts.ie
33,106,SKODA,106,completed,https://www.irishautoparts.ie
529,3530,SKODA (SVW),3530,completed,https://www.irishautoparts.ie
530,5890,SKYWELL,5890,completed,https://www.irishautoparts.ie
